"Player","Team","Number","Position","Birthdate","College","Year"
"Shane Bonham","Detroit Lions","--","DT","1970-10-18","Tennessee","1996"
"Gary Jones","New York Jets","--","DB","1967-11-30","Texas A&amp;M","1996"
"Godfrey Myles","Dallas Cowboys","--","LB","1968-09-22","Florida","1996"
"Shante Carver","Dallas Cowboys","--","DE","1971-02-12","Arizona State","1996"
"Derek Loville","San Francisco 49ers","--","RB","1968-07-04","Oregon","1996"
"Jeff Hill","Cincinnati Bengals","--","WR","1972-09-24","Purdue","1996"
"Travis Davis","Jacksonville Jaguars","--","DB","1973-01-10","Notre Dame","1996"
"Cris Carter","Minnesota Vikings","--","WR","1965-11-25","Ohio State","1996"
"Moe Gardner","Atlanta Falcons","--","DT","1968-08-10","Illinois","1996"
"Deion Sanders","Dallas Cowboys","--","DB","1967-08-09","Florida State","1996"
"Cole Ford","Oakland Raiders","--","K","1972-12-31","Southern California","1996"
"Earnest Byner","Baltimore Ravens","--","RB","1962-09-15","East Carolina","1996"
"Demetrius DuBose","Tampa Bay Buccaneers","--","LB","1971-03-23","Notre Dame","1996"
"Marcus Coleman","New York Jets","--","DB","1974-05-24","Texas Tech","1996"
"Greg Jackson","New Orleans Saints","--","DB","1966-08-20","Louisiana State","1996"
"Greg Briggs","Chicago Bears","--","DB","1968-10-01","Texas Southern","1996"
"Brad Banta","Indianapolis Colts","--","TE","1970-12-14","Southern California","1996"
"Ryan McNeil","Detroit Lions","--","DB","1970-10-04","Miami","1996"
"William Gaines","Washington Redskins","--","DT","1971-06-20","Florida","1996"
"Jeff Cothran","Cincinnati Bengals","--","RB","1971-06-28","Ohio State","1996"
"John Lynch","Tampa Bay Buccaneers","--","DB","1971-09-25","Stanford","1996"
"Ty Law","New England Patriots","--","DB","1974-02-10","Michigan","1996"
"Marc Boutte","Washington Redskins","--","DT","1969-07-26","Louisiana State","1996"
"Lonnie Young","New York Jets","--","DB","1963-07-18","Michigan State","1996"
"Otis Smith","New England Patriots","--","DB","1965-10-22","Missouri","1996"
"Ken Dilger","Indianapolis Colts","--","TE","1971-02-02","Illinois","1996"
"Jessie Armstead","New York Giants","--","LB","1970-10-26","Miami","1996"
"Carl Reeves","Chicago Bears","--","DE","1971-12-17","North Carolina State","1996"
"Derrick Brooks","Tampa Bay Buccaneers","--","LB","1973-04-18","Florida State","1996"
"Leslie O'Neal","Los Angeles Rams","--","DE","1964-05-07","Oklahoma State","1996"
"Ken Blackman","Cincinnati Bengals","--","OG","1972-11-08","Illinois","1996"
"Lawrence Phillips","Los Angeles Rams","--","RB","1975-05-12","Nebraska","1996"
"Willie Green","Carolina Panthers","--","WR","1966-04-02","Mississippi","1996"
"Michael Bates","Carolina Panthers","--","WR","1969-12-19","Arizona","1996"
"Scott Turner","Washington Redskins","--","DB","1972-02-26","Illinois","1996"
"Randal Hill","Miami Dolphins","--","WR","1969-09-21","Miami","1996"
"Steve Lofton","Carolina Panthers","--","DB","1968-11-26","Texas A&amp;M","1996"
"Greg Kragen","Carolina Panthers","--","DT","1962-03-04","Utah State","1996"
"Antonio Langham","Baltimore Ravens","--","DB","1972-07-31","Alabama","1996"
"Steve Bono","Kansas City Chiefs","--","QB","1962-05-11","UCLA","1996"
"Steve Conley","Pittsburgh Steelers","--","LB","1972-01-18","Arkansas","1996"
"Tracy Scroggins","Detroit Lions","--","DE","1969-09-11","Tulsa","1996"
"Keith Washington","Detroit Lions","--","DE","1972-12-18","Nevada-Las Vegas","1996"
"Mike Prior","Green Bay Packers","--","DB","1963-11-14","Illinois State","1996"
"Kevin Hardy","Jacksonville Jaguars","--","LB","1973-07-24","Illinois","1996"
"Lance Brown","Arizona Cardinals","--","DB","1972-02-02","Indiana","1996"
"Edgar Bennett","Green Bay Packers","--","RB","1969-02-15","Florida State","1996"
"Cedric Smith","Arizona Cardinals","--","RB","1968-05-27","Florida","1996"
"Fernando Smith","Minnesota Vikings","--","DE","1971-08-02","Jackson State","1996"
"Keno Hills","New Orleans Saints","--","OG","1973-06-13","Southwestern Louisiana","1996"
"Zach Thomas","Miami Dolphins","--","LB","1973-09-01","Texas Tech","1996"
"Matt Elliott","Carolina Panthers","--","OG","1968-10-01","Michigan","1996"
"Travis Hall","Atlanta Falcons","--","DT","1972-08-03","Brigham Young","1996"
"Darnell Walker","Atlanta Falcons","--","DB","1970-01-17","Oklahoma","1996"
"Ty Detmer","Philadelphia Eagles","--","QB","1967-10-30","Brigham Young","1996"
"Leroy Hoard","Minnesota Vikings","--","RB","1968-05-15","Michigan","1996"
"Alfred Pupunu","San Diego Chargers","--","TE","1969-10-17","Weber State","1996"
"Larry Izzo","Miami Dolphins","--","LB","1974-09-26","Rice","1996"
"Andrew Jordan","Minnesota Vikings","--","TE","1972-06-21","Western Carolina","1996"
"Darrick Brilz","Cincinnati Bengals","--","C","1964-02-14","Oregon State","1996"
"Esera Tuaolo","Minnesota Vikings","--","DT","1968-07-11","Oregon State","1996"
"Derrick Graham","Seattle Seahawks","--","OG","1967-03-18","Appalachian State","1996"
"Jimmy Hitchcock","New England Patriots","--","DB","1971-11-09","North Carolina","1996"
"Keith Byars","Miami Dolphins","--","RB","1963-10-14","Ohio State","1996"
"James Jenkins","Washington Redskins","--","TE","1967-08-17","Rutgers","1996"
"Dan Land","Oakland Raiders","--","DB","1965-07-03","Albany State","1996"
"Jeremy Lincoln","Los Angeles Rams","--","DB","1969-04-07","Tennessee","1996"
"Donnell Bennett","Kansas City Chiefs","--","RB","1972-09-14","Miami","1996"
"Lake Dawson","Kansas City Chiefs","--","WR","1972-01-02","Notre Dame","1996"
"Andy McCollum","New Orleans Saints","--","C","1970-06-02","Toledo","1996"
"Anthony Morgan","Green Bay Packers","--","WR","1967-11-15","Tennessee","1996"
"Eddie Robinson","Jacksonville Jaguars","--","LB","1970-04-13","Alabama State","1996"
"Dewayne Washington","Minnesota Vikings","--","DB","1972-12-27","North Carolina State","1996"
"Dexter Carter","San Francisco 49ers","--","RB","1967-09-15","Florida State","1996"
"Derek West","Indianapolis Colts","--","OT","1972-03-28","Colorado","1996"
"Jim Pyne","Tampa Bay Buccaneers","--","OG","1971-11-23","Virginia Tech","1996"
"Jason Gildon","Pittsburgh Steelers","--","LB","1972-07-31","Oklahoma State","1996"
"Scott Conover","Detroit Lions","--","OG","1968-09-27","Purdue","1996"
"Norbert Davidds-Garrido","Carolina Panthers","--","OT","1972-10-04","Southern California","1996"
"Chris Singleton","Miami Dolphins","--","LB","1967-02-20","Arizona","1996"
"Tony Richardson","Kansas City Chiefs","--","RB","1971-12-17","Auburn","1996"
"Ronnie Harris","Seattle Seahawks","--","WR","1970-06-04","Oregon","1996"
"Aaron Graham","Arizona Cardinals","--","C","1973-05-22","Nebraska","1996"
"Harvey Williams","Oakland Raiders","--","RB","1967-04-22","Louisiana State","1996"
"Mike Pritchard","Seattle Seahawks","--","WR","1969-10-26","Colorado","1996"
"Chris Dalman","San Francisco 49ers","--","OG","1970-03-15","Stanford","1996"
"Daryl Hobbs","Oakland Raiders","--","WR","1968-05-23","Pacific","1996"
"Aaron Pierce","New York Giants","--","TE","1969-09-06","Washington","1996"
"Quentin Neujahr","Baltimore Ravens","--","C","1971-01-30","Kansas State","1996"
"Brian Milne","Cincinnati Bengals","--","RB","1973-01-07","Penn State","1996"
"Rodney Harrison","San Diego Chargers","--","DB","1972-12-15","Western Illinois","1996"
"Tre' Johnson","Washington Redskins","--","OG","1971-08-30","Temple","1996"
"Tony Bouie","Tampa Bay Buccaneers","--","DB","1972-08-07","Arizona","1996"
"Doug Riesenberg","Tampa Bay Buccaneers","--","OT","1965-07-22","California","1996"
"Reggie Brooks","Tampa Bay Buccaneers","--","RB","1971-01-19","Notre Dame","1996"
"Tommy Jeter","Carolina Panthers","--","DT","1969-09-20","Texas","1996"
"Mark Bruener","Pittsburgh Steelers","--","TE","1972-09-16","Washington","1996"
"John Farquhar","Pittsburgh Steelers","--","TE","1972-03-22","Duke","1996"
"Raymont Harris","Chicago Bears","--","RB","1970-12-23","Ohio State","1996"
"Dave Krieg","Chicago Bears","--","QB","1958-10-20","Milton","1996"
"Adrian Cooper","San Francisco 49ers","--","TE","1968-04-27","Oklahoma","1996"
"Darren Studstill","Jacksonville Jaguars","--","DB","1970-08-09","West Virginia","1996"
"John Burke","New England Patriots","--","TE","1971-09-07","Virginia Tech","1996"
"Michael Husted","Tampa Bay Buccaneers","--","K","1970-06-16","Virginia","1996"
"David Klingler","Oakland Raiders","--","QB","1969-02-17","Houston","1996"
"James Logan","Seattle Seahawks","--","LB","1972-12-06","Memphis","1996"
"Ray Brown","San Francisco 49ers","--","OG","1962-12-12","Arkansas State","1996"
"Keith Taylor","Washington Redskins","--","DB","1964-12-21","Illinois","1996"
"Tom Ackerman","New Orleans Saints","--","OG","1972-09-06","Eastern Washington","1996"
"Roger Jones","Cincinnati Bengals","--","DB","1969-04-22","Tennessee State","1996"
"Brett Favre","Green Bay Packers","--","QB","1969-10-10","Southern Mississippi","1996"
"Raleigh McKenzie","Philadelphia Eagles","--","OG","1963-02-08","Tennessee","1996"
"Antonio Edwards","Seattle Seahawks","--","DE","1970-03-10","Valdosta State","1996"
"William White","Kansas City Chiefs","--","DB","1966-02-19","Ohio State","1996"
"Bill Bates","Dallas Cowboys","--","DB","1961-06-06","Tennessee","1996"
"Steve Tasker","Buffalo Bills","--","WR","1962-04-10","Northwestern","1996"
"Billy Joe Hobert","Oakland Raiders","--","QB","1971-01-08","Washington","1996"
"Patrise Alexander","Washington Redskins","--","DT","1972-10-23","Southwestern Louisiana","1996"
"Sam Shade","Cincinnati Bengals","--","DB","1973-06-14","Alabama","1996"
"Trent Dilfer","Tampa Bay Buccaneers","--","QB","1972-03-13","Fresno State","1996"
"Eric Turner","Baltimore Ravens","--","DB","1968-09-20","UCLA","1996"
"Thomas Beer","Detroit Lions","--","LB","1969-03-27","Wayne State (MI)","1996"
"Ray Zellars","New Orleans Saints","--","RB","1973-03-25","Notre Dame","1996"
"Rob Coons","Buffalo Bills","--","TE","1969-09-18","Pittsburgh","1996"
"Dale Carter","Kansas City Chiefs","--","DB","1969-11-28","Tennessee","1996"
"Tim Hauck","Denver Broncos","--","DB","1966-12-20","Montana","1996"
"Ray Crockett","Denver Broncos","--","DB","1967-01-05","Baylor","1996"
"Greg Hill","Kansas City Chiefs","--","RB","1972-02-23","Texas A&amp;M","1996"
"Steve Wisniewski","Oakland Raiders","--","OG","1967-04-07","Penn State","1996"
"Donnell Woolford","Chicago Bears","--","DB","1966-01-06","Clemson","1996"
"Tory James","Denver Broncos","--","DB","1973-05-18","Louisiana State","1996"
"Leo Araguz","Oakland Raiders","--","P","1970-01-18","Stephen F. Austin","1996"
"Boomer Esiason","Arizona Cardinals","--","QB","1961-04-17","Maryland","1996"
"Darryl Talley","Minnesota Vikings","--","LB","1960-07-10","West Virginia","1996"
"Brian Kinchen","Baltimore Ravens","--","TE","1965-08-06","Louisiana State","1996"
"Ian Beckles","Tampa Bay Buccaneers","--","OG","1967-07-20","Indiana","1996"
"Marvcus Patton","Washington Redskins","--","LB","1967-05-01","UCLA","1996"
"Jerome Bettis","Pittsburgh Steelers","--","RB","1972-02-16","Notre Dame","1996"
"Maurice Douglass","New York Giants","--","DB","1964-02-12","Kentucky","1996"
"Tim Goad","Baltimore Ravens","--","DT","1966-02-28","North Carolina","1996"
"Lawyer Milloy","New England Patriots","--","DB","1973-11-14","Washington","1996"
"Chris Boniol","Dallas Cowboys","--","K","1971-12-09","Louisiana Tech","1996"
"Mario Bates","New Orleans Saints","--","RB","1973-01-16","Arizona State","1996"
"Jason Odom","Tampa Bay Buccaneers","--","OT","1974-03-31","Florida","1996"
"Todd Rucci","New England Patriots","--","OG","1970-07-14","Penn State","1996"
"Carl Pickens","Cincinnati Bengals","--","WR","1970-03-23","Tennessee","1996"
"Ken Irvin","Buffalo Bills","--","DB","1972-07-11","Memphis","1996"
"Todd Kinchen","Denver Broncos","--","WR","1969-01-07","Louisiana State","1996"
"Bryan Still","San Diego Chargers","--","WR","1974-06-03","Virginia Tech","1996"
"Tom Myslinski","Pittsburgh Steelers","--","OG","1968-12-07","Tennessee","1996"
"Chester McGlockton","Oakland Raiders","--","DT","1969-09-16","Clemson","1996"
"Rod Stephens","Washington Redskins","--","LB","1966-06-14","Georgia Tech","1996"
"Troy Aikman","Dallas Cowboys","--","QB","1966-11-21","UCLA","1996"
"Elijah Alexander","Indianapolis Colts","--","LB","1970-08-08","Kansas State","1996"
"Freddie Solomon","Philadelphia Eagles","--","WR","1972-08-15","South Carolina State","1996"
"Issac Booth","Baltimore Ravens","--","DB","1971-05-23","California","1996"
"James Hasty","Kansas City Chiefs","--","DB","1965-05-23","Washington State","1996"
"Don Majkowski","Detroit Lions","--","QB","1964-02-25","Virginia","1996"
"Trey Junkin","Oakland Raiders","--","TE","1961-01-23","Louisiana Tech","1996"
"John Gerak","Minnesota Vikings","--","OG","1970-01-06","Penn State","1996"
"Scott Adams","Tampa Bay Buccaneers","--","OG","1966-09-28","Georgia","1996"
"Bernard Whittington","Indianapolis Colts","--","DT","1971-08-20","Indiana","1996"
"Jon Witman","Pittsburgh Steelers","--","RB","1972-06-01","Penn State","1996"
"Brady Smith","New Orleans Saints","--","DE","1973-06-05","Colorado State","1996"
"Herman Moore","Detroit Lions","--","WR","1969-10-20","Virginia","1996"
"Derek Kennard","Dallas Cowboys","--","OG","1962-09-09","Nevada","1996"
"Michael Westbrook","Washington Redskins","--","WR","1972-07-07","Colorado","1996"
"Freddie Joe Nunn","Indianapolis Colts","--","DE","1962-04-09","Mississippi","1996"
"Marty Moore","New England Patriots","--","LB","1971-03-19","Kentucky","1996"
"William Roberts","New England Patriots","--","OG","1962-08-05","Ohio State","1996"
"Harry Galbreath","New York Jets","--","OG","1965-01-01","Tennessee","1996"
"John Jurkovic","Jacksonville Jaguars","--","DT","1967-08-18","Eastern Illinois","1996"
"Vinson Smith","Chicago Bears","--","LB","1965-07-03","East Carolina","1996"
"Jeff Blackshear","Baltimore Ravens","--","OG","1969-03-29","Northeast Louisiana","1996"
"Harry Swayne","San Diego Chargers","--","OT","1965-02-02","Rutgers","1996"
"Shannon Sharpe","Denver Broncos","--","TE","1968-06-26","Savannah State","1996"
"Eddie Kennison","Los Angeles Rams","--","WR","1973-01-20","Louisiana State","1996"
"Matt Brock","New York Jets","--","DT","1966-01-14","Oregon","1996"
"Dave Moore","Tampa Bay Buccaneers","--","TE","1969-11-11","Pittsburgh","1996"
"Roell Preston","Atlanta Falcons","--","WR","1972-06-23","Mississippi","1996"
"Shawn Wooden","Miami Dolphins","--","DB","1973-10-23","Notre Dame","1996"
"Michael McCrary","Seattle Seahawks","--","DE","1970-07-07","Wake Forest","1996"
"Antonio Goss","Los Angeles Rams","--","LB","1966-08-11","North Carolina","1996"
"Ken Harvey","Washington Redskins","--","LB","1965-05-06","California","1996"
"Frank Reich","New York Jets","--","QB","1961-12-04","Maryland","1996"
"Michael Bankston","Arizona Cardinals","--","DE","1970-03-12","Sam Houston State","1996"
"Napoleon Kaufman","Oakland Raiders","--","RB","1973-06-07","Washington","1996"
"Dan Marino","Miami Dolphins","--","QB","1961-09-15","Pittsburgh","1996"
"Terry Hoage","Arizona Cardinals","--","DB","1962-04-11","Georgia","1996"
"Andy Heck","Chicago Bears","--","OT","1967-01-01","Notre Dame","1996"
"LeRoy Butler","Green Bay Packers","--","DB","1968-07-19","Florida State","1996"
"Jason Fisk","Minnesota Vikings","--","DT","1972-09-04","Stanford","1996"
"Rob Fredrickson","Oakland Raiders","--","LB","1971-05-13","Michigan State","1996"
"Ray Roberts","Detroit Lions","--","OT","1969-06-03","Virginia","1996"
"Eric Hill","Arizona Cardinals","--","LB","1966-11-14","Louisiana State","1996"
"Pat Carter","Arizona Cardinals","--","TE","1966-08-01","Florida State","1996"
"Michael Dean Perry","Denver Broncos","--","DT","1965-08-27","Clemson","1996"
"Mike Dulaney","Chicago Bears","--","RB","1970-09-09","North Carolina","1996"
"Courtney Hawkins","Tampa Bay Buccaneers","--","WR","1969-12-12","Michigan State","1996"
"John Mangum","Chicago Bears","--","DB","1967-03-16","Alabama","1996"
"Damien Covington","Buffalo Bills","--","LB","1972-12-04","North Carolina State","1996"
"Tom Nalen","Denver Broncos","--","C","1971-05-13","Boston College","1996"
"Tommy Thompson","San Francisco 49ers","--","P","1972-04-27","Oregon","1996"
"Rick Hamilton","New York Jets","--","LB","1970-04-19","Central Florida","1996"
"Robert Jones","Los Angeles Rams","--","LB","1969-09-27","East Carolina","1996"
"Jeff Lageman","Jacksonville Jaguars","--","DE","1967-07-18","Virginia","1996"
"Darrell Green","Washington Redskins","--","DB","1960-02-15","Texas A&amp;M-Kingsville","1996"
"Todd Perry","Chicago Bears","--","OG","1970-11-28","Kentucky","1996"
"Bern Brostek","Los Angeles Rams","--","C","1966-09-11","Washington","1996"
"Henry Ellard","Washington Redskins","--","WR","1961-07-21","Fresno State","1996"
"Dwayne White","Los Angeles Rams","--","OG","1967-02-10","Alcorn State","1996"
"Paul Grasmanis","Chicago Bears","--","DT","1974-08-02","Notre Dame","1996"
"Orpheus Roye","Pittsburgh Steelers","--","DT","1973-01-21","Florida State","1996"
"Duane Bickett","Carolina Panthers","--","LB","1962-12-01","Southern California","1996"
"Rufus Porter","New Orleans Saints","--","LB","1965-05-18","Southern","1996"
"Tim Hanshaw","San Francisco 49ers","--","OG","1970-04-27","Brigham Young","1996"
"John Thierry","Chicago Bears","--","DE","1971-09-04","Alcorn State","1996"
"Andre Rison","Green Bay Packers","--","WR","1967-03-18","Michigan State","1996"
"Ron Rivers","Detroit Lions","--","RB","1971-11-13","Fresno State","1996"
"Scott Miller","Miami Dolphins","--","WR","1968-10-20","UCLA","1996"
"Jerris McPhail","Miami Dolphins","--","RB","1972-06-26","East Carolina","1996"
"John Friesz","Seattle Seahawks","--","QB","1967-05-19","Idaho","1996"
"Keenan McCardell","Jacksonville Jaguars","--","WR","1970-01-06","Nevada-Las Vegas","1996"
"Daniel Stubbs","Miami Dolphins","--","DE","1965-01-03","Miami","1996"
"Tom Hutton","Philadelphia Eagles","--","P","1972-07-08","Tennessee","1996"
"Greg DeLong","Minnesota Vikings","--","TE","1973-04-03","North Carolina","1996"
"Derrick Deese","San Francisco 49ers","--","OT","1970-05-17","Southern California","1996"
"Maa Tanuvasa","Denver Broncos","--","DE","1970-11-06","Hawaii","1996"
"Tyji Armstrong","Dallas Cowboys","--","TE","1970-10-03","Mississippi","1996"
"Ray Buchanan","Indianapolis Colts","--","DB","1971-09-29","Louisville","1996"
"Bernard Holsey","New York Giants","--","DE","1973-12-10","Duke","1996"
"Nolan Harrison","Oakland Raiders","--","DE","1969-01-25","Indiana","1996"
"Phil Hansen","Buffalo Bills","--","DE","1968-05-20","North Dakota State","1996"
"Duane Clemons","Minnesota Vikings","--","DE","1974-05-23","California","1996"
"Greg Skrepenak","Carolina Panthers","--","OG","1970-01-31","Michigan","1996"
"Ernie Mills","Pittsburgh Steelers","--","WR","1968-10-28","Florida","1996"
"Greg Bishop","New York Giants","--","OG","1971-05-02","Pacific","1996"
"Darrick Brownlow","Washington Redskins","--","LB","1968-12-28","Illinois","1996"
"Natrone Means","Jacksonville Jaguars","--","RB","1972-04-26","North Carolina","1996"
"Michael Strahan","New York Giants","--","DE","1971-11-21","Texas Southern","1996"
"George Koonce","Green Bay Packers","--","LB","1968-10-15","East Carolina","1996"
"Russell Copeland","Buffalo Bills","--","WR","1971-11-04","Memphis","1996"
"Keith Sims","Miami Dolphins","--","OG","1967-06-17","Iowa State","1996"
"Austin Robbins","New Orleans Saints","--","DT","1971-03-01","North Carolina","1996"
"Thomas Randolph","New York Giants","--","DB","1970-10-05","Kansas State","1996"
"Martin Bayless","Kansas City Chiefs","--","DB","1962-10-11","Bowling Green","1996"
"Rich Owens","Washington Redskins","--","DE","1972-05-22","Lehigh","1996"
"O.J. Brigance","Miami Dolphins","--","LB","1969-09-29","Rice","1996"
"Myron Baker","Carolina Panthers","--","LB","1971-01-06","Louisiana Tech","1996"
"Thomas Smith","Buffalo Bills","--","DB","1970-12-05","North Carolina","1996"
"Stan Humphries","San Diego Chargers","--","QB","1965-04-14","Northeast Louisiana","1996"
"Dale Hellestrae","Dallas Cowboys","--","OG","1962-07-11","Southern Methodist","1996"
"Tony McCoy","Indianapolis Colts","--","DT","1969-06-10","Florida","1996"
"Earl Holmes","Pittsburgh Steelers","--","LB","1973-04-28","Florida A&amp;M","1996"
"Antonio Freeman","Green Bay Packers","--","WR","1972-05-27","Virginia Tech","1996"
"Dermontti Dawson","Pittsburgh Steelers","--","C","1965-06-17","Kentucky","1996"
"Adam Timmerman","Green Bay Packers","--","OG","1971-08-14","South Dakota State","1996"
"Willie Roaf","New Orleans Saints","--","OT","1970-04-18","Louisiana Tech","1996"
"Jeff Burris","Buffalo Bills","--","DB","1972-06-07","Notre Dame","1996"
"Mark Rodenhauser","Carolina Panthers","--","C","1961-06-01","Illinois State","1996"
"Tim Bowens","Miami Dolphins","--","DT","1973-02-07","Mississippi","1996"
"Chris Hudson","Jacksonville Jaguars","--","DB","1971-10-06","Colorado","1996"
"Lonnie Johnson","Buffalo Bills","--","TE","1971-02-14","Florida State","1996"
"Ray Lucas","New England Patriots","--","QB","1972-08-06","Rutgers","1996"
"Perry Carter","Oakland Raiders","--","DB","1971-08-15","Southern Mississippi","1996"
"Pete Pierson","Tampa Bay Buccaneers","--","OT","1971-02-04","Washington","1996"
"Anthony Lynn","San Francisco 49ers","--","RB","1968-12-21","Texas Tech","1996"
"Scottie Graham","Minnesota Vikings","--","RB","1969-03-28","Ohio State","1996"
"Lance Johnstone","Oakland Raiders","--","DE","1973-06-11","Temple","1996"
"Ronald McKinnon","Arizona Cardinals","--","LB","1973-09-20","North Alabama","1996"
"Harold Bishop","Baltimore Ravens","--","TE","1970-04-08","Louisiana State","1996"
"Antonio London","Detroit Lions","--","LB","1971-04-14","Alabama","1996"
"Cory Raymer","Washington Redskins","--","C","1973-03-03","Wisconsin","1996"
"John Kidd","Miami Dolphins","--","P","1961-08-22","Northwestern","1996"
"Hollis Thomas","Philadelphia Eagles","--","DT","1974-01-10","Northern Illinois","1996"
"Moe Williams","Minnesota Vikings","--","RB","1974-07-26","Kentucky","1996"
"Guy McIntyre","Philadelphia Eagles","--","OG","1961-02-17","Georgia","1996"
"Rick Mirer","Seattle Seahawks","--","QB","1970-03-19","Notre Dame","1996"
"Kevin Butler","Arizona Cardinals","--","K","1962-07-24","Georgia","1996"
"Glyn Milburn","Detroit Lions","--","RB","1971-02-19","Stanford","1996"
"Jahine Arnold","Pittsburgh Steelers","--","WR","1973-06-19","Fresno State","1996"
"Lorenzo Neal","New Orleans Saints","--","RB","1970-12-27","Fresno State","1996"
"Junior Seau","San Diego Chargers","--","LB","1969-01-19","Southern California","1996"
"Jeff Graham","New York Jets","--","WR","1969-02-14","Ohio State","1996"
"Danan Hughes","Kansas City Chiefs","--","WR","1970-12-11","Iowa","1996"
"Le'Shai Maston","Jacksonville Jaguars","--","RB","1970-10-07","Baylor","1996"
"Levon Kirkland","Pittsburgh Steelers","--","LB","1969-02-17","Clemson","1996"
"Sean Lumpkin","New Orleans Saints","--","DB","1970-01-04","Minnesota","1996"
"Brett Perriman","Detroit Lions","--","WR","1965-10-10","Miami","1996"
"Eric Smedley","Buffalo Bills","--","DB","1973-07-23","Indiana","1996"
"Joe Cocozzo","San Diego Chargers","--","OG","1970-08-07","Michigan","1996"
"Eric Moten","San Diego Chargers","--","OG","1968-04-11","Michigan State","1996"
"Jamie Asher","Washington Redskins","--","TE","1972-10-31","Louisville","1996"
"Vinnie Clark","Jacksonville Jaguars","--","DB","1969-01-22","Ohio State","1996"
"Joe Patton","Washington Redskins","--","OG","1972-01-05","Alabama A&amp;M","1996"
"George Hegamin","Dallas Cowboys","--","OT","1973-02-14","North Carolina State","1996"
"Jeff Feagles","Arizona Cardinals","--","P","1966-03-07","Miami","1996"
"Kevin Greene","Carolina Panthers","--","LB","1962-07-31","Auburn","1996"
"Brenden Stai","Pittsburgh Steelers","--","OG","1972-03-30","Nebraska","1996"
"Chris Mohr","Buffalo Bills","--","P","1966-05-11","Alabama","1996"
"Greg Davis","Arizona Cardinals","--","K","1965-10-29","Citadel","1996"
"La'Roi Glover","Oakland Raiders","--","DT","1974-07-04","San Diego State","1996"
"Joe Staysniak","Arizona Cardinals","--","OG","1966-12-08","Ohio State","1996"
"Tony Woods","Washington Redskins","--","DE","1965-10-11","Pittsburgh","1996"
"Bruce Wilkerson","Green Bay Packers","--","OT","1964-07-28","Tennessee","1996"
"Aaron Craver","Denver Broncos","--","RB","1968-12-18","Fresno State","1996"
"Webster Slaughter","New York Jets","--","WR","1964-10-19","San Diego State","1996"
"Ed McCaffrey","Denver Broncos","--","WR","1968-08-17","Stanford","1996"
"Charles McRae","Oakland Raiders","--","OT","1968-09-16","Tennessee","1996"
"John Kasay","Carolina Panthers","--","K","1969-10-27","Georgia","1996"
"Orlando Brown","Baltimore Ravens","--","OT","1970-12-12","South Carolina State","1996"
"Harlon Barnett","Minnesota Vikings","--","DB","1967-01-02","Michigan State","1996"
"Gerald Dixon","Cincinnati Bengals","--","LB","1969-06-20","South Carolina","1996"
"Tedy Bruschi","New England Patriots","--","LB","1973-06-09","Arizona","1996"
"Jeff Hostetler","Oakland Raiders","--","QB","1961-04-22","West Virginia","1996"
"Derrick Witherspoon","Philadelphia Eagles","--","RB","1971-02-14","Clemson","1996"
"Robert Green","Chicago Bears","--","RB","1970-09-10","William &amp; Mary","1996"
"Harold Green","Los Angeles Rams","--","RB","1968-01-29","South Carolina","1996"
"Jimmie Jones","Los Angeles Rams","--","DE","1966-01-09","Miami","1996"
"Terry Wooden","Seattle Seahawks","--","LB","1967-01-14","Syracuse","1996"
"Mike Chalenski","New York Jets","--","DE","1970-01-28","UCLA","1996"
"Tyoka Jackson","Tampa Bay Buccaneers","--","DE","1971-11-22","Penn State","1996"
"Mike Sherrard","Denver Broncos","--","WR","1963-06-21","UCLA","1996"
"Marcus Allen","Kansas City Chiefs","--","RB","1960-03-26","Southern California","1996"
"Pellom McDaniels","Kansas City Chiefs","--","DE","1968-02-21","Oregon State","1996"
"Erric Pegram","Pittsburgh Steelers","--","RB","1969-01-07","North Texas","1996"
"Kordell Stewart","Pittsburgh Steelers","--","QB","1972-10-16","Colorado","1996"
"Leon Lett","Dallas Cowboys","--","DT","1968-10-12","Emporia State","1996"
"Todd Burger","Chicago Bears","--","OG","1970-03-20","Penn State","1996"
"Donny Brady","Baltimore Ravens","--","DB","1973-11-26","Wisconsin","1996"
"Michael Barber","Seattle Seahawks","--","LB","1971-11-09","Clemson","1996"
"Qadry Ismail","Minnesota Vikings","--","WR","1970-11-08","Syracuse","1996"
"Matt Willig","Atlanta Falcons","--","OT","1969-01-21","Southern California","1996"
"Tom Carter","Washington Redskins","--","DB","1972-09-05","Notre Dame","1996"
"George Teague","Dallas Cowboys","--","DB","1971-02-18","Alabama","1996"
"Anthony Miller","Denver Broncos","--","WR","1965-04-15","Tennessee","1996"
"Darren Carrington","Oakland Raiders","--","DB","1966-10-10","Northern Arizona","1996"
"Aubrey Matthews","Detroit Lions","--","WR","1962-09-15","Delta State","1996"
"Pete Kendall","Seattle Seahawks","--","OG","1973-07-09","Boston College","1996"
"Kevin Glover","Detroit Lions","--","C","1963-06-17","Maryland","1996"
"Marco Coleman","San Diego Chargers","--","DE","1969-12-18","Georgia Tech","1996"
"Tom McManus","Jacksonville Jaguars","--","LB","1970-07-30","Boston College","1996"
"Marc Logan","Washington Redskins","--","RB","1965-05-09","Kentucky","1996"
"Ronald Moore","New York Jets","--","RB","1970-01-26","Pittsburg State","1996"
